file,line,category,original,suggested
"admin/src/views/profile/logs/index.vue",23,UNMAPPED,"{ title: 'IP地址', dataIndex: 'ipAddress', key: 'ipAddress' }","{ title: 'IP地址', dataIndex: 'ipAddress', key: 'ipAddress' }"
"admin/src/views/profile/logs/index.vue",34,UNMAPPED,"'登录': 'processing',","'登录': 'processing',"
"admin/src/views/profile/logs/index.vue",35,UNMAPPED,"'新增': 'success',","'新增': 'success',"
"admin/src/views/profile/logs/index.vue",36,UNMAPPED,"'修改': 'warning',","'修改': 'warning',"
"admin/src/views/profile/logs/index.vue",37,UNMAPPED,"'删除': 'error'","'删除': 'error'"
"admin/src/views/resources/interview-bank/index.vue",16,TERNARY_UNMAPPED,":message=""`有 ${pendingCount} 个学员题库申请待分配`""",":message=""`有 ${pendingCount} 个学员题库申请待分配`"""
"admin/src/views/resources/interview-bank/index.vue",16,TMPL_LITERAL,":message=""`有 ${pendingCount} 个学员题库申请待分配`""","/* TODO: t() with interpolation */"
"admin/src/views/resources/interview-bank/index.vue",49,UNMAPPED,"{ title: '申请ID', dataIndex: 'applicationCode', key: 'applicationCode', width: 120 },","{ title: '申请ID', dataIndex: 'applicationCode', key: 'applicationCode', width: 120 },"
"admin/src/views/resources/interview-bank/index.vue",84,UNMAPPED,"message.error(activeTab.value === 'banks' ? '题库列表加载失败' : t('failed_to_load_student_requests'))","message.error(activeTab.value === 'banks' ? '题库列表加载失败' : t('failed_to_load_student_requests'))"
"admin/src/views/resources/online-test-bank/index.vue",16,TERNARY_UNMAPPED,":message=""`有 ${pendingCount} 个学员题库申请待分配`""",":message=""`有 ${pendingCount} 个学员题库申请待分配`"""
"admin/src/views/resources/online-test-bank/index.vue",16,TMPL_LITERAL,":message=""`有 ${pendingCount} 个学员题库申请待分配`""","/* TODO: t() with interpolation */"
"admin/src/views/resources/online-test-bank/index.vue",37,UNMAPPED,"{ title: '申请ID', dataIndex: 'applicationCode', key: 'applicationCode', width: 120 },","{ title: '申请ID', dataIndex: 'applicationCode', key: 'applicationCode', width: 120 },"
"admin/src/views/resources/online-test-bank/index.vue",102,UNMAPPED,"message.error(activeTab.value === 'banks' ? '题库列表加载失败' : t('failed_to_load_student_requests'))","message.error(activeTab.value === 'banks' ? '题库列表加载失败' : t('failed_to_load_student_requests'))"
"admin/src/views/resources/qbank/index.vue",90,UNMAPPED,"message.success(modalMode.value === 'create' ? '题库文件夹创建成功' : t('question_bank_folder_updated'))","message.success(modalMode.value === 'create' ? '题库文件夹创建成功' : t('question_bank_folder_updated'))"
"admin/src/views/resources/questions/index.vue",16,TERNARY_UNMAPPED,":message=""`当前有 ${pendingCount} 条面试真题待审核，请及时处理`""",":message=""`当前有 ${pendingCount} 条面试真题待审核，请及时处理`"""
"admin/src/views/resources/questions/index.vue",16,TMPL_LITERAL,":message=""`当前有 ${pendingCount} 条面试真题待审核，请及时处理`""","/* TODO: t() with interpolation */"
"admin/src/views/teaching/all-classes/index.vue",55,UNMAPPED,"{ title: '课程ID', dataIndex: 'classId', key: 'classId', width: 80 },","{ title: '课程ID', dataIndex: 'classId', key: 'classId', width: 80 },"
"admin/src/views/teaching/class-records/index.vue",21,UNMAPPED,"{ title: '记录ID', dataIndex: 'recordId', key: 'recordId', width: 90 },","{ title: '记录ID', dataIndex: 'recordId', key: 'recordId', width: 90 },"
"admin/src/views/teaching/communication/index.vue",50,UNMAPPED,"'微信': 'green',","'微信': 'green',"
"admin/src/views/teaching/communication/index.vue",51,UNMAPPED,"'邮件': 'blue',","'邮件': 'blue',"
"admin/src/views/teaching/communication/index.vue",52,UNMAPPED,"'电话': 'default',","'电话': 'default',"
"admin/src/views/teaching/communication/index.vue",53,UNMAPPED,"'面谈': 'purple'","'面谈': 'purple'"
"admin/src/views/users/contracts/columns.ts",3,UNMAPPED,"{ title: '学员ID', dataIndex: 'studentId', key: 'studentId', width: 100 },","{ title: '学员ID', dataIndex: 'studentId', key: 'studentId', width: 100 },"
"admin/src/views/users/contracts/components/ContractBlacklistModal.vue",19,UNMAPPED,"const reasonOptions = [t('unauthorized_contact_with_students'), '服务投诉升级', t('partnership_terminated'), t('other_reasons')]","const reasonOptions = [t('unauthorized_contact_with_students'), '服务投诉升级', t('partnership_terminated'), t('other_reasons')]"
"admin/src/views/users/contracts/components/ContractDetailModal.vue",34,TMPL_LITERAL,"`${props.studentName || t('student')}的合同记录`","/* TODO: t() with named interpolation */"
"admin/src/views/users/contracts/components/ContractDetailModal.vue",34,UNMAPPED,"const modalTitle = computed(() => `${props.studentName || t('student')}的合同记录`)","const modalTitle = computed(() => `${props.studentName || t('student')}的合同记录`)"
"admin/src/views/users/contracts/components/ContractDetailModal.vue",71,TMPL_LITERAL,"`${formatDate(startDate)} 至 ${formatDate(endDate)}`","/* TODO: t() with named interpolation */"
"admin/src/views/users/contracts/components/ContractDetailModal.vue",71,UNMAPPED,"const formatDateRange = (startDate?: string, endDate?: string) => `${formatDate(startDate)} 至 ${formatDate(endDate)}`","const formatDateRange = (startDate?: string, endDate?: string) => `${formatDate(startDate)} 至 ${formatDate(endDate)}`"
"admin/src/views/users/contracts/components/ContractRemoveBlacklistModal.vue",19,UNMAPPED,"const reasonOptions = ['黑名单期满', '误加黑名单', '已完成整改', t('other_reasons')]","const reasonOptions = ['黑名单期满', '误加黑名单', '已完成整改', t('other_reasons')]"
"admin/src/views/users/contracts/components/ContractStatusChangeModal.vue",19,UNMAPPED,"const reasonOptions = ['状态误判', '合同信息更正', '服务期限调整', t('other_reasons')]","const reasonOptions = ['状态误判', '合同信息更正', '服务期限调整', t('other_reasons')]"
"admin/src/views/users/contracts/components/RenewContractModal.vue",121,UNMAPPED,"message.error(form.currency === 'GBP' ? '请输入美元等值金额' : t('please_enter_usd_amount'))","message.error(form.currency === 'GBP' ? '请输入美元等值金额' : t('please_enter_usd_amount'))"
"admin/src/views/users/mentor-schedule/components/EditScheduleModal.vue",118,TERNARY_UNMAPPED,":data-field-name=""`${day.label}可用时段`""",":data-field-name=""`${day.label}可用时段`"""
"admin/src/views/users/mentor-schedule/components/EditScheduleModal.vue",118,TMPL_LITERAL,":data-field-name=""`${day.label}可用时段`""","/* TODO: t() with interpolation */"
"admin/src/views/users/mentor-schedule/components/EditScheduleModal.vue",47,TMPL_LITERAL,"`${Number(month)}月`","/* TODO: t() with named interpolation */"
"admin/src/views/users/mentor-schedule/components/EditScheduleModal.vue",47,UNMAPPED,"monthLabel: `${Number(month)}月`,","monthLabel: `${Number(month)}月`,"
"admin/src/views/users/mentor-schedule/components/EditScheduleModal.vue",79,UNMAPPED,"const weekLabel = computed(() => (localWeek.value === 'next' ? '下周排期' : t('this_week_schedule')))","const weekLabel = computed(() => (localWeek.value === 'next' ? '下周排期' : t('this_week_schedule')))"
"admin/src/views/users/mentor-schedule/components/EditScheduleModal.vue",81,UNMAPPED,"const modalTitle = computed(() => (props.record?.filled ? '调整导师排期' : t('fill_schedule_on_behalf_of_mentor')))","const modalTitle = computed(() => (props.record?.filled ? '调整导师排期' : t('fill_schedule_on_behalf_of_mentor')))"
"admin/src/views/users/mentor-schedule/components/EditScheduleModal.vue",123,UNMAPPED,"errorMessage.value = '未找到导师信息，暂时无法保存。'","errorMessage.value = '未找到导师信息，暂时无法保存。'"
"admin/src/views/users/mentor-schedule/components/EditScheduleModal.vue",127,UNMAPPED,"errorMessage.value = '请填写调整原因。'","errorMessage.value = '请填写调整原因。'"
"admin/src/views/users/mentor-schedule/index.vue",16,TERNARY_UNMAPPED,":message=""`${unfilledCount} 位导师排期未填写`""",":message=""`${unfilledCount} 位导师排期未填写`"""
"admin/src/views/users/mentor-schedule/index.vue",16,TMPL_LITERAL,":message=""`${unfilledCount} 位导师排期未填写`""","/* TODO: t() with interpolation */"
"admin/src/views/users/mentor-schedule/index.vue",109,TMPL_LITERAL,"`已提醒 ${result.recipientCount} 位导师补齐排期`","/* TODO: t() with named interpolation */"
"admin/src/views/users/mentor-schedule/index.vue",109,UNMAPPED,"message.success(`已提醒 ${result.recipientCount} 位导师补齐排期`)","message.success(`已提醒 ${result.recipientCount} 位导师补齐排期`)"
"admin/src/views/users/mentor-schedule/index.vue",196,UNMAPPED,"return '导师排期表.xlsx'","return '导师排期表.xlsx'"
"admin/src/views/users/mentor-schedule/index.vue",200,UNMAPPED,"return encoded ? decodeURIComponent(encoded) : '导师排期表.xlsx'","return encoded ? decodeURIComponent(encoded) : '导师排期表.xlsx'"
"admin/src/views/users/staff/components/MentorStudentsModal.vue",24,TMPL_LITERAL,"`${props.staffName} 的学员`","/* TODO: t() with named interpolation */"
"admin/src/views/users/staff/components/MentorStudentsModal.vue",24,UNMAPPED,"return `${props.staffName} 的学员`","return `${props.staffName} 的学员`"
"admin/src/views/users/staff/components/StaffDetailModal.vue",39,TERNARY_UNMAPPED,":aria-label=""`导师详情弹窗${tab.label}`""",":aria-label=""`导师详情弹窗${tab.label}`"""
"admin/src/views/users/staff/components/StaffDetailModal.vue",39,TMPL_LITERAL,":aria-label=""`导师详情弹窗${tab.label}`""","/* TODO: t() with interpolation */"
"admin/src/views/users/staff/components/StaffDetailModal.vue",173,UNMAPPED,"return staffType === 'lead_mentor' ? '班主任' : t('mentor')","return staffType === 'lead_mentor' ? '班主任' : t('mentor')"
"admin/src/views/users/staff/components/StaffDetailModal.vue",177,UNMAPPED,"return accountStatus === '1' ? '冻结' : t('active_3')","return accountStatus === '1' ? '冻结' : t('active_3')"
"admin/src/views/users/staff/components/StaffFormModal.vue",84,UNMAPPED,"phoneCountryCode: '', // 默认t('please_select_country_code')","phoneCountryCode: '', // 默认t('please_select_country_code')"
"admin/src/views/users/staff/components/StaffStatusModal.vue",82,UNMAPPED,"return '禁用后该导师账号将无法正常登录系统。'","return '禁用后该导师账号将无法正常登录系统。'"
"admin/src/views/users/staff/components/StaffStatusModal.vue",85,UNMAPPED,"return '确认后该导师账号将恢复为正常可用状态。'","return '确认后该导师账号将恢复为正常可用状态。'"
"admin/src/views/users/staff/components/StaffStatusModal.vue",88,UNMAPPED,"return '加入黑名单后，该导师将被限制使用后续相关模块能力。'","return '加入黑名单后，该导师将被限制使用后续相关模块能力。'"
"admin/src/views/users/staff/components/StaffStatusModal.vue",90,UNMAPPED,"return '确认后将解除该导师的黑名单状态。'","return '确认后将解除该导师的黑名单状态。'"
"admin/src/views/users/staff/index.vue",277,TMPL_LITERAL,"`${label} 等${arr.length}家`","/* TODO: t() with named interpolation */"
"admin/src/views/users/staff/index.vue",277,UNMAPPED,"return arr.length > 2 ? `${label} 等${arr.length}家` : label","return arr.length > 2 ? `${label} 等${arr.length}家` : label"
"admin/src/views/users/students/components/ChangeReviewTab.vue",81,UNMAPPED,"message.success(action === 'approve' ? '变更已通过' : t('change_rejected'))","message.success(action === 'approve' ? '变更已通过' : t('change_rejected'))"
"admin/src/views/users/students/components/ChangeReviewTab.vue",83,UNMAPPED,"message.error(action === 'approve' ? '变更通过失败' : t('failed_to_reject_change'))","message.error(action === 'approve' ? '变更通过失败' : t('failed_to_reject_change'))"
"admin/src/views/users/students/components/ContractTab.vue",46,TMPL_LITERAL,"`${fmt(startDate)} 至 ${fmt(endDate)}`","/* TODO: t() with named interpolation */"
"admin/src/views/users/students/components/ContractTab.vue",46,UNMAPPED,"return `${fmt(startDate)} 至 ${fmt(endDate)}`","return `${fmt(startDate)} 至 ${fmt(endDate)}`"
"admin/src/views/users/students/components/EditStudentModal.vue",90,TMPL_LITERAL,"`${staffType === 'lead_mentor' ? '班主任' : t('teaching_assistant')} ${staffId}`","/* TODO: t() with named interpolation */"
"admin/src/views/users/students/components/EditStudentModal.vue",90,UNMAPPED,"staffName: label || `${staffType === 'lead_mentor' ? '班主任' : t('teaching_assistant')} ${staffId}`,","staffName: label || `${staffType === 'lead_mentor' ? '班主任' : t('teaching_assistant')} ${staffId}`,"
"admin/src/views/users/students/components/StatusChangeModal.vue",53,UNMAPPED,"return '冻结后，学员账号将被暂停，无法登录系统。可随时恢复正常状态。'","return '冻结后，学员账号将被暂停，无法登录系统。可随时恢复正常状态。'"
"admin/src/views/users/students/components/StatusChangeModal.vue",56,UNMAPPED,"return '退费后，学员账号将被停用。'","return '退费后，学员账号将被停用。'"
"admin/src/views/users/students/components/StatusChangeModal.vue",58,UNMAPPED,"return '恢复后，学员可正常登录和使用系统。'","return '恢复后，学员可正常登录和使用系统。'"
"admin/src/views/users/students/components/StudentDetailModal.vue",66,TERNARY_UNMAPPED,":aria-label=""`学员详情弹窗${tab.label}`""",":aria-label=""`学员详情弹窗${tab.label}`"""
"admin/src/views/users/students/components/StudentDetailModal.vue",66,TMPL_LITERAL,":aria-label=""`学员详情弹窗${tab.label}`""","/* TODO: t() with interpolation */"
"admin/src/views/users/students/components/StudentDetailModal.vue",254,UNMAPPED,"loadError.value = '请稍后重试，或检查学员详情接口是否可用。'","loadError.value = '请稍后重试，或检查学员详情接口是否可用。'"
"admin/src/views/users/students/index.vue",16,TERNARY_UNMAPPED,":message=""`有 ${pendingReviewCount} 位学员的信息变更待审核`""",":message=""`有 ${pendingReviewCount} 位学员的信息变更待审核`"""
"admin/src/views/users/students/index.vue",16,TMPL_LITERAL,":message=""`有 ${pendingReviewCount} 位学员的信息变更待审核`""","/* TODO: t() with interpolation */"
"admin/src/views/users/students/index.vue",153,UNMAPPED,"selectedTab.value === 'blacklist' ? '暂无黑名单学员' : t('no_student_data_available')","selectedTab.value === 'blacklist' ? '暂无黑名单学员' : t('no_student_data_available')"
"admin/src/views/users/students/index.vue",495,TMPL_LITERAL,"`班主任 ${row.leadMentorId}`","/* TODO: t() with named interpolation */"
"admin/src/views/users/students/index.vue",495,UNMAPPED,"label: row.leadMentorName || `班主任 ${row.leadMentorId}`,","label: row.leadMentorName || `班主任 ${row.leadMentorId}`,"
"admin/src/views/users/students/index.vue",643,TMPL_LITERAL,"`登录账号：${result.loginAccount}`","/* TODO: t() with named interpolation */"
"admin/src/views/users/students/index.vue",643,UNMAPPED,"h('p', `登录账号：${result.loginAccount}`),","h('p', `登录账号：${result.loginAccount}`),"
"admin/src/views/users/students/index.vue",644,TMPL_LITERAL,"`默认密码：${result.defaultPassword}`","/* TODO: t() with named interpolation */"
"admin/src/views/users/students/index.vue",644,UNMAPPED,"h('p', `默认密码：${result.defaultPassword}`)","h('p', `默认密码：${result.defaultPassword}`)"
